Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889
Random Forest,0.7402597402597403,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.8160185185185185
XGBoost,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.83
