Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013
SVM,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437
Random Forest,0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9577922077922079
XGBoost,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.949134199134199
